film_title,film_year,production_country,director,release_month,release_year,release_location,production_company,cast,imdb_id
Ritratto dell'amata,1912,Italy,nm0516263,October,1912,Italy,"Film d'Arte Italiana, Pathé Frères","nm0078116, nm0637019, nm0156990, nm1216205, nm0232370, nm0744105",tt1070852
La parola che uccide,1914,Italy,nm0312866,March,1914,Italy,Società Italiana Cines,"nm0070959, nm0070962, nm0137706, nm0526921, nm0579618, nm1301690, nm0785802",tt0192439
"Sophy of Kravonia; or, The Virgin of Paris",1920,USA,nm0284807,November,1920,USA,Harry Raver Inc.,"nm0439188, nm0330659, nm0039105, nm0834386, nm0665728, nm0607880, nm0679801, nm0854683, nm0187633, nm0219905",tt0197907
Il marito dell'amica,1919,Italy,nm0211634,January,1919,Italy,Gladiator Film,"nm0109266, nm0135493, nm2526103, nm0785378, nm0872195",tt1175215
La giovinezza del diavolo,1925,Italy,nm0730743,March,1925,Italy,Caesar Film,"nm0078116, nm1291308, nm1291841, nm1293512, nm0682530, nm0887830, nm0899262, nm1218250",tt0178489
L'esplosione del forte B.2,1914,Italy,nm1156070,,1914,Italy,Pasquali e C.,"nm0414294, nm0784988, nm0139215, nm0162322, nm1156070",tt1041728
Maciste imperatore,1924,Italy,nm0109264,November,1924,Italy,Fert Film,"nm0656034, nm0762718, nm8542885, nm0303742, nm0757369, nm1148942, nm0051737, nm1324086, nm0952610, nm0591622, nm0693529, nm1100228",tt0015103
L'amazzone macabra,1916,Italy,nm0211634,August,1916,Italy,Gladiator Film,"nm0901591, nm0021935, nm0142822, nm0078161, nm0312553, nm0544331, nm0867930",tt0192969
Der Tiger des Zirkus Farini,1923,Germany,nm0469170,August,1923,Germany,Jakob Karol Film GmbH,"nm0538729, nm0466232, nm0298226, nm0504811, nm0666006, nm0797728, nm0785802, nm0681620, nm0266234, nm0913188, nm0368117, nm0225905, nm0002161, nm0723801, nm0475470, nm0075237",tt0013677
La fanciulla di Pompei,1925,Italy,nm0030748,November,1925,Italy,Lombardo Film,"nm0350524, nm0431069, nm0738113",tt0270356
La leoparda ferita,1923,Italy,nm0215516,February,1923,Italy,Lombardo Film,"nm0024155, nm1916356, nm0215516, nm0350524, nm0718580",tt1045153
La trilogia di Dorina,1917,Italy,nm0952610,November,1917,Italy,Itala Film,"nm0579618, nm0591622, nm0599973, nm0603386, nm0626131, nm0744105, nm0850499",tt0963351
L'abito nero da sposa,1945,Italy,nm0952737,May,1945,Italy,Vi-Va Film,"nm0315984, nm0491238, nm0276417, nm0848546, nm0798570, nm0897002, nm0736422, nm0346358, nm0660018, nm0816528, nm0156989, nm0676131, nm0646742, nm0685911, nm0762718, nm0807564, nm0298917, nm0021337, nm0335694, nm0011575",tt0035606
Amore vince sempre,1921,Italy,,,,,,nm0078116,tt0250954
Angelina o el honor de un brigadier,1935,USA,"nm0003422, nm0959178",June,1936,Portugal,Fox Film Corporation,"nm0246458, nm0187510, nm0220534, nm0671559, nm0209740, nm0867944, nm0782225, nm0864203, nm0324912, nm0603953, nm0307986, nm0679189, nm0130969, nm0596903, nm0896276, nm0798228, nm0753843, nm0959580",tt0129753
L'aigrette,1917,Italy,nm0624511,June,1918,Portugal,Tiber-film,"nm0137706, nm0138479, nm0352120, nm0381428, nm0414293, nm1300239",tt0188397
La via del peccato,1925,Italy,nm0657535,February,1925,Italy,A.P. Film,"nm0094801, nm0209740, nm0303122, nm0315780, nm0414293, nm0448656, nm2440122, nm0749431, nm0759762, nm0784988, nm0785802, nm0850499, nm0874482",tt0216347
Mio zio Barbassous,1921,Italy,nm0143975,October,1921,Italy,Chimera Film,"nm0094529, nm0131206, nm2496237, nm0762718",tt0927133
Il segreto della grotta azzurra,1922,Italy,nm0303120,December,1922,Italy,Films Gallone,"nm0078261, nm0414293, nm0769330, nm2667014, nm0899528",tt1041841
Monella di strada,1920,Italy,nm2522802,November,1920,Italy,Nova Film,"nm0094529, nm0131042, nm2890654, nm2891441, nm2309624",tt0188065
Katharina Knie,1929,Germany,nm0344583,,1930,Austria,Karl Grune Film,"nm0460337, nm0094529, nm0762277, nm0436922, nm0812453, nm0209142, nm0903957, nm0723801, nm0738519, nm0286924, nm1890278, nm0872325, nm0225905, nm0058620, nm0123972, nm0262134, nm0333254, nm0765642, nm0836724, nm0902760, nm0944196",tt0020054
Il fiore del Caucaso,1920,Italy,nm0131455,October,1920,Italy,Novafilm,"nm0094529, nm0131042, nm2891441",tt0173846
"Screen Snapshots, Series 2, No. 1-F",1921,USA,,June,1921,USA,Federated Film Exchange,"nm0021471, nm0000779, nm0146796, nm0198272, nm0199841, nm0001124, nm0489690, nm0511729, nm0531962, nm0561931, nm0613623, nm0681933",tt2161523
Il sogno di un tramonto d'autunno,1911,Italy,nm0535957,December,1911,Austria,Società Anonima Ambrosio,"nm1064675, nm1291445, nm1250893, nm1148942, nm0538729, nm0603065, nm1294580, nm0850499, nm1205185, nm0890415, nm0899597, nm0901591",tt0203926
La fiammata,1922,Italy,nm0303120,November,1922,Italy,Caesar Film,"nm0303122, nm0352120, nm0553335",tt1047617
La musa del pianto e quella del sorriso,1917,Italy,nm0544490,October,1917,Italy,Comedia Film,"nm0021935, nm2557586, nm2565382, nm2559151, nm2560978, nm2450029",tt0965516
Le due scommesse,1912,Italy,,October,1912,Italy,Società Italiana Cines,"nm0078116, nm1014493, nm2711497",tt1051781
Bohème - Künstlerliebe,1923,Germany,nm0726729,November,1923,Finland,"Jacobini-Film, Berlin, Maria Jacobini Film","nm0414294, nm0526266, nm0418079, nm0226189, nm0785802, nm0254012, nm0104948, nm0299833, nm0324501, nm0510761, nm0070622, nm0368117",tt0137399
Vittima dell'ideale,1916,Italy,nm0784988,,,,,nm0078116,tt0216376
Tigre reale,1916,Italy,nm0665163,November,1916,Italy,Itala Film,"nm0579618, nm0626131, nm0546917, nm0292041, nm0890415, nm0312553, nm0406390, nm0603386",tt0007459
Dante nella vita e nei tempi suoi,1922,Italy,nm0301154,April,1922,Italy,,"nm1149885, nm0637019, nm0439188, nm1148298, nm0056080, nm0292041",tt0167870
Ma l'amor mio non muore...,1914,Italy,nm0143333,January,1914,USA,Film Artistica Gloria,"nm0096330, nm0094801, nm0743102, nm0744105, nm0135493, nm0143332, nm0211158, nm0676131, nm0599973, nm0702893, nm0582500, nm0591873",tt0003102
Il perfetto amore,1918,Italy,nm0109264,December,1918,Italy,Società Italiana Cines,"nm0109266, nm0266031, nm0693529",tt1080968
Miss Dollar,1922,Italy,nm0207107,June,1922,Italy,Chimera Film,"nm0051737, nm0076464, nm2488663, nm1945108, nm0727397, nm0762718",tt0928053
Il carnevale di Venezia,1928,Italy,nm0021933,December,1928,Japan,Societa Anonima Stefano Pittaluga,"nm0076131, nm0109263, nm0406390, nm0414294, nm0430955, nm0543484, nm0583947, nm0591622, nm0853724, nm0865072",tt0205799
Il richiamo,1921,Italy,nm0726729,October,1921,Italy,Fert Film,"nm0070959, nm0244600, nm0414294, nm0448656, nm0874482",tt0200022
La via della luce,1917,Italy,nm0624511,June,1917,Italy,Tiber-film,"nm0138479, nm0143332, nm0381428, nm0414293, nm0526921",tt1041877
La signora innamorata,1920,Italy,nm0743102,February,1920,Italy,Gladiator Film,"nm0264693, nm0335908, nm0538729, nm0743102, nm0872195, nm1295234",tt0965675
Lucrezia Borgia,1912,Italy,nm0516263,May,1912,Italy,"Film d'Arte Italiana, Pathé Frères","nm0078116, nm0503227, nm1011921, nm0784988, nm1218250",tt0383483
Lea,1916,Italy,"nm1298035, nm0439188",August,1916,Italy,Sabaudo Film,"nm1298300, nm0143685, nm0244600, nm0439188, nm2312131, nm2458941, nm1533355",tt0903876
La Bohème,1917,Italy,nm0657535,August,1917,Italy,Cosmopoli Film,"nm2682393, nm1253992, nm0211282, nm2461871, nm0350524, nm0520861, nm0682544, nm0785802, nm2487812",tt1045033
Resurrezione,1917,Italy,nm0143333,February,1918,Spain,Tiber-film,"nm0093710, nm0224058, nm0352120, nm0414294, nm0819010",tt0193463
Dopo il veglione,1914,Italy,nm0312866,November,1914,Italy,Milano Film,"nm0333309, nm0381428, nm1283828, nm0785802",tt0169784
La Damina di porcellana,1917,Italy,nm0439188,November,1917,Italy,Novissima Film,"nm0135421, nm0439188",tt0903812
Lorenzaccio,1951,Italy,nm0655411,,,,Rovere,"nm0016617, nm0525793, nm0274671, nm0555807, nm0209637, nm0289450, nm0320278, nm0195258, nm0162768, nm0046785, nm0049836, nm0313065, nm0275146, nm0658851, nm0082415, nm0665109, nm0109266, nm0658872, nm3922158",tt0043755
L'isola della felicità,1921,Italy,nm0233631,March,1921,Italy,Fert Film,"nm0082101, nm0144302, nm0172822, nm0414293, nm0553335, nm0727397",tt1041766
Le vittime dell'oro,1921,Italy,nm0142822,September,1921,Italy,Jupiter Film,"nm1522679, nm0762718",tt0929492
La spada di Damocle,1919,Italy,nm0211634,June,1919,Italy,Gladiator Film,"nm0009828, nm0209609, nm0538729, nm1294250, nm0872195, nm1295234",tt0965677
Cenerentola e il signor Bonaventura,1941,Italy,nm0865493,December,1941,Italy,Arno Film,"nm0832375, nm0413064, nm0897650, nm0865493, nm0865492, nm0055364, nm0109266, nm0685609, nm0138601, nm0302945, nm0683647, nm0155078, nm0481343, nm0098669, nm0117874, nm0156989, nm0521543, nm1573451, nm1425470, nm1122936, nm1679970",tt0140470
L'importanza d'essere Franco,1958,Italy,nm0274683,,1958,,,"nm0140015, nm0901763, nm0865493, nm0146334, nm0174627, nm0109266, nm0957866, nm0541113, nm0728949",tt2322242
Le sens de la mort,1922,France,nm0698839,,,,Société des Etablissements L. Gaumont,"nm0637496, nm0163229, nm0946238, nm0439188, nm0061682, nm1253312, nm0126885, nm0430345, nm0834496, nm0590557",tt0013588
International gran prix,1924,Italy,nm0657535,April,1924,Italy,Direttori Associati,"nm0138479, nm0406390, nm0414293, nm0757369",tt1041764
L'antenato,1938,Italy,nm0109264,October,1938,USA,Astra Film,"nm0053224, nm0055364, nm0109266, nm0174582, nm0195208, nm0195525, nm0259599, nm0295545, nm0304211, nm0738871, nm1907315, nm0798570, nm1494284, nm1408188",tt0027299
Ultimo sogno,1924,Italy,nm0730743,June,1924,Portugal,,"nm0078116, nm1267810, nm1293560, nm0663286, nm1252987, nm1146178",tt0214231
Il volto del passato,1918,Italy,nm0624511,,1918,Italy,Tiber-film,"nm0138479, nm0144302, nm0381428, nm0553335, nm0630171, nm0757369",tt1063667
La morsa,1916,Italy,nm0315780,February,1916,Italy,Tiber-film,"nm0137706, nm0172822, nm0315780, nm0381428, nm0526921, nm2712744",tt1063635
L'incognita,1922,Italy,nm0726729,November,1922,Italy,Fert Film,"nm0051737, nm0082101, nm0144302, nm0414294, nm0448656, nm0759474",tt0179238
L'innamorata,1920,Italy,nm0726729,November,1920,UK,Fert Film,"nm0021935, nm0079246, nm0144302, nm1250994, nm0172822, nm0757369",tt0179872
Il patto,1916,Italy,,,,,,nm0078116,tt0193382
La dame en gris,1919,Italy,nm0743102,November,1919,Italy,Gladiator Film,"nm0009828, nm0264693, nm0335908, nm0538729, nm0743102, nm0872195, nm1295234",tt0965603
La casa di vetro,1920,Italy,nm0726729,December,1920,Italy,,"nm0070959, nm0082101, nm0144302, nm1250994, nm0414294, nm0637019, nm0664703",tt0161386
Il delitto dell'opera,1917,Italy,nm0734958,April,1917,Italy,Jupiter Film,"nm0109266, nm2521128, nm1298843, nm1241788, nm0693529, nm0734958, nm0744105, nm1302243",tt0943413
Wer hat Bobby gesehen?,1930,Germany,nm0709864,February,1930,Germany,Erda-Film GmbH (I),"nm0017614, nm0414293, nm0699588, nm0819022, nm0913188",tt0467137
La grande passione,1922,Italy,nm0021933,May,1922,Italy,Fert Film,"nm0021935, nm0070959, nm0140054, nm0352120, nm0682544",tt0200674
Boccaccesca,1928,Italy,nm0207107,June,1928,Italy,I.C.S.A.,"nm2491833, nm0056080, nm0090548, nm2494811, nm1298942, nm0244700, nm2497095, nm0620911, nm0688762, nm1526205, nm2756868, nm0762718",tt0928022
Quella vecchia canaglia,1934,Italy,nm0103855,,,,Amato Film,"nm0749431, nm0094529, nm0135635, nm0195830, nm0233946, nm0656512, nm0832375",tt0025695
La storia dei tredici,1917,Italy,nm0303120,October,1917,Italy,Società Italiana Cines,"nm0096330, nm0684960, nm0759474",tt0193530
L'autunno dell'amore,1918,Italy,nm0726729,April,1918,Italy,Tiber-film,"nm0144302, nm0162322, nm0414293, nm0652800",tt0192990
Rabagas,1922,Italy,nm0712304,March,1922,Italy,"Medusa Film, Unione Cinematografica Italiana","nm0538729, nm0537818, nm0872195, nm1301222, nm0682204, nm0500846, nm1300488, nm0209740, nm0209741, nm0660012, nm1302222, nm1302724",tt0197792
Profanazione,1924,Italy,nm0673035,December,1924,Italy,Lombardo Film,"nm0135421, nm0350524, nm0650750, nm1294774",tt1045186
Trittico italiano,1918,Italy,,December,1918,Italy,"Ministero della Marina, Società Italiana Cines","nm0132036, nm0137706, nm0172822, nm0266032, nm0414293, nm0439188, nm0637019, nm0663286, nm0667546",tt1041868
Le birichinate di Kri Kri e Diomira,1913,Italy,,,1913,Italy,Società Italiana Cines,"nm0199287, nm0414293, nm1100228",tt1041695
Nella fornace,1915,Italy,nm0654581,January,1915,Italy,Celio Film,"nm0078116, nm0161750, nm0302942, nm0352120, nm0407846, nm0705304",tt0188098
La casa sotto la neve,1922,Italy,nm0726729,March,1922,Italy,E.D.A.,"nm0135421, nm0414294, nm0526921, nm1146178",tt0161388
Il privilegio dell'amore,1921,Italy,nm0734958,March,1921,Italy,Rodolfifilm,"nm0109266, nm0162321, nm0899597, nm1295392",tt1067741
Vedi Napoli e poi muori,1924,Italy,nm0673035,November,1924,Italy,Lombardo Film,"nm0350524, nm0667546, nm0850236",tt0268010
Sotto l'ala della morte,1915,Italy,nm0407846,August,1915,Italy,Celio Film,"nm0161750, nm0208352, nm0302942, nm0335908, nm0414294, nm0630171, nm1266871",tt1041849
Bimbi lontani,1919,Italy,nm0624511,August,1919,Italy,Film d'Arte Italiana,"nm0138479, nm2709115, nm0266947, nm1722531, nm0381428",tt1063597
La lotta per la vita,1921,Italy,nm0109264,,1921,Italy,Rodolfifilm,"nm1027834, nm0109266, nm0162321, nm0162322, nm2719773, nm0899597",tt1067721
La principessa Zoe,1920,Italy,,July,1920,Italy,Celio Film,"nm0161750, nm0302942, nm1266871, nm0762531, nm0762718, nm1146438",tt0456614
Smarrito nell'ombra,1914,Italy,,January,1914,Italy,Itala Film,"nm0021935, nm0610618",tt0965530
La principessa,1917,Italy,nm0211158,July,1917,Italy,Caesar Film,"nm0350524, nm0211158, nm0448656",tt0794151
L'ora terribile,1923,Italy,nm0624511,August,1925,Portugal,Superfilms,"nm0381428, nm1267810, nm0757369, nm0312909, nm0769330, nm0211282, nm0688787",tt1000141
Fracassa e l'altro,1919,Italy,nm0856426,,1919,Italy,Mari Film,"nm0035996, nm1522679, nm0292041, nm1148942, nm0762718, nm0856422",tt0929424
La figlia della tempesta,1917,Italy,nm0211634,February,1917,Italy,Gladiator Film,"nm0021935, nm0124744, nm0142822, nm0161733, nm0679170",tt0193160
La signorina... madre di famiglia,1924,Italy,nm0303120,August,1924,Italy,Films Gallone,"nm0137706, nm0303122, nm0352120, nm2678089, nm0682595",tt1047681
La macchina cinema,1979,Italy,,,1979,,"Cento Fiori, Rai 2","nm0013193, nm0069166, nm0677758, nm0750048, nm0042106, nm3667494, nm0078116, nm0078644, nm3671031, nm0274659, nm1402208, nm0409049, nm3610169, nm0681311, nm0733598",tt0077884
Il conquistatore del mondo,1919,Italy,nm0730743,,,,,"nm0078116, nm0759474",tt0299702
Ne sois pas jalouse,1934,France,nm0312866,January,1934,Spain,,"nm0094529, nm0730109, nm0243382, nm0028114, nm0076131, nm0076870, nm1049636, nm0253619, nm0362483, nm0591047, nm1054253",tt0298467
Quand l'amour réfleurit,1916,Italy,nm0664700,May,1916,Italy,Pasquali e C.,"nm0139215, nm1894502, nm0439188",tt1065485
Vincolo segreto,1916,Italy,nm1002138,February,1916,Italy,Sicula Film,"nm2543880, nm0098700, nm2553258, nm0579618, nm0705304, nm0710749",tt0963360
La sfumatura,1913,Italy,nm0030748,May,1913,Italy,Società Italiana Cines,"nm0381428, nm0596837, nm0350524",tt0203125
La verità nuda,1921,Italy,nm1302092,April,1921,Italy,Rinascimento Film,"nm0538729, nm0579618, nm0667546",tt0963359
La cavalcata ardente,1925,Italy,nm0303120,May,1925,Italy,"S.A.I.C., Westi Film","nm0303122, nm0315780, nm0109469, nm0208566, nm0336414, nm1035410, nm1300572, nm0526921, nm0553335, nm0682595, nm1253011, nm1146178, nm0887830",tt0161410
Der fidele Bauer,1929,Germany,nm0782703,June,1929,USA,Fery-Film GmbH,"nm1769903, nm0094529, nm0105970, nm0167087, nm0290951, nm0470328, nm0637496, nm0678891, nm0757064, nm0890993, nm0903957, nm0927436",tt0017875
Anna Maria,1912,Italy,,,1912,Italy,Società Italiana Cines,"nm0137706, nm2673464, nm0414293, nm0526921",tt1041689
La beffa atroce,1915,Italy,nm0303120,February,1915,Italy,Società Italiana Cines,"nm0303122, nm0321346, nm0697512, nm1295384",tt1047585
Manon Lescaut,1940,Italy,nm0303120,February,1940,Italy,Grandi Film Storici,"nm0885098, nm0001120, nm0681441, nm0231878, nm0223997, nm0901400, nm0012373, nm0154804, nm0055364, nm0107783, nm0862904, nm0267249, nm0685066, nm0102679, nm0302958, nm0682595, nm0688770, nm1409731, nm0439188, nm0636530, nm0723168, nm0900203, nm0900209",tt0032756
I 28 giorni di Claretta,1927,Italy,nm0673035,,1927,Italy,Societa Anonima Stefano Pittaluga,"nm0350524, nm0650750",tt1044989
Der Film im Film,1925,Germany,nm0691748,June,1925,Germany,"Richard Hirschfeld, Berlin","nm0222074, nm0243295, nm0251456, nm0414294, nm0417837, nm0470328, nm0000485, nm0501902, nm0509573, nm0003638, nm0003425, nm0675160, nm0684518, nm0691995, nm0699637, nm0726729, nm0777579, nm0825596, nm0891998, nm0917467, nm0919225, nm0927468",tt0173839
Il marchese di Ruvolito,1939,Italy,nm0558127,February,1939,Italy,Irpinia Cinematografica,"nm0208370, nm0208375, nm0030601, nm0664132, nm0323022, nm0726295, nm0659284, nm0672809, nm1855211, nm0841270, nm0585936, nm0109266, nm1824989, nm0664821, nm0636772, nm0681365, nm0303411, nm1029576, nm1435117, nm1412193, nm1324133, nm1855406, nm0723052, nm1505024, nm0636755",tt0030417
Cabiria,1914,Italy,nm0665163,,1914,Turkey,Itala Film,"nm0146028, nm0702894, nm0544845, nm0856422, nm0610618, nm0656034, nm0224122, nm0889527, nm0202688, nm0021935, nm0076131, nm0155080, nm0224346, nm0312553, nm0526921, nm0078116, nm0274079, nm0303122, nm0303742, nm0579618, nm0591622, nm0615923, nm0771998",tt0003740
La madre folle,1923,Italy,nm0303120,May,1923,Italy,Films Gallone,"nm0282186, nm2679718, nm2680368, nm0303122, nm0448656, nm0598712, nm0682595, nm1253011, nm0887830",tt1047644
Fior d'amore e fior di morte,1912,Italy,,,1912,Italy,Società Italiana Cines,"nm0637019, nm0321346, nm0350524",tt1045090
L'ultima battaglia,1914,Italy,nm0624511,July,1914,Italy,Milano Film,"nm0381428, nm0667546, nm0333309",tt1063661
Amore che uccide,1916,Italy,nm0143333,August,1916,Italy,Films Manipulation Agency,"nm0032106, nm0135493, nm0143332, nm0274673, nm0350524, nm0679170, nm1302243",tt0214471
I cavalieri moderni,1915,Italy,nm0407846,July,1915,Italy,Celio Film,"nm0302942, nm0350524, nm0414294",tt1041703
"Le comte de Monte Cristo, 2ème époque: Le châtiment",1943,"France, Italy","nm0894509, nm0148602",February,1943,France,"Regina Productions, Excelsa Film","nm0723918, nm0019030, nm0163588, nm0216209, nm0380304, nm0726777, nm0097727, nm0149465, nm0288256, nm0758986, nm0431145, nm0094529, nm0893737, nm0220700, nm0549409, nm0045867, nm2123103, nm0202121, nm1526163, nm0217355",tt1104767
Die Gefangene von Shanghai,1927,Germany,"nm0902006, nm0312866",March,1928,Portugal,Nero-Film AG,"nm0094529, nm0872465, nm0324553, nm0895279, nm0676756, nm0512724",tt0017922
I corvi,1913,Italy,,,1913,Italy,Società Italiana Cines,"nm0303120, nm0303122, nm0381428",tt1047601
Romanticismo,1954,Italy,nm0087730,,1954,,RAI Radiotelevisione Italiana,"nm0727311, nm0868916, nm0109266, nm0385872, nm2244871, nm0754636, nm0803398, nm0673393, nm0161877, nm1717155, nm0046670, nm6127192, nm9167869, nm0208522, nm6685434, nm0093850, nm0665134, nm0818990",tt7197794
Sole!,1918,Italy,nm0030748,September,1918,Italy,Polifilms,"nm1513704, nm0195221, nm0335961, nm0350524, nm0526921",tt0270652
Christus,1916,Italy,nm0030748,April,1916,Spain,Società Italiana Cines,"nm0664698, nm0637019, nm0350524, nm0557831, nm1249784, nm0143332, nm1531292, nm0208019, nm0526921, nm0688230, nm0746296, nm0899528",tt0006511
La suocera,1913,Italy,,December,1913,Italy,Società Italiana Cines,"nm0078116, nm0137706, nm0172822",tt1064813
Il mistero della porta chiusa,1915,Italy,nm1004886,November,1915,Italy,Celio Film,"nm0414294, nm0598712",tt1041795
Andere Frauen,1928,Austria,nm0361521,November,1928,Austria,Otto Spitzer Film,"nm0209740, nm0317209, nm0452209, nm0340872, nm0073472, nm0672640, nm0547998",tt0131314
Il sottomarino n. 27,1915,Italy,nm0654581,April,1915,Italy,Società Italiana Cines,"nm1298056, nm0137706, nm0579618, nm0749431",tt0963336
La chiamavano 'Cosetta',1917,Italy,nm0673035,June,1917,Italy,Film d'Arte Italiana,"nm0303122, nm0321346, nm0637019, nm0658551, nm0899348",tt0193278
Il trittico,1923,Italy,nm0094801,,,,,"nm0078261, nm0094801, nm0209740, nm0211282, nm0605628, nm0730135, nm1146178",tt0211685
Quando il sole tramonta,1917,Italy,nm0726729,September,1917,Italy,Tiber-film,"nm0144302, nm0172822, nm0414293",tt0196880
"Italia, paese di briganti?",1923,Italy,nm2669873,July,1923,Italy,Selecta-Toddi,"nm0096475, nm0414293, nm0539011, nm0597899, nm0682595",tt1041768
Il marchio rosso,1918,Italy,nm0133153,December,1918,Italy,Tiber-film,"nm0032106, nm0035996, nm0414293, nm0553335, nm0630171",tt1041789
Notte di tempesta,1916,Italy,nm0957995,November,1916,Italy,Silentium Film,"nm0021935, nm0070221, nm0277372, nm0320278, nm2560901, nm0681213, nm2562535, nm0824971, nm1273427",tt0172892
Saracinesca,1921,Italy,"nm0131455, nm0712304",October,1921,Italy,Medusa Film,"nm0209740, nm1298949, nm0244600, nm0345223, nm1300657, nm0579615, nm0762718, nm1218250",tt0201068
La canzone dell'amore,1930,Italy,nm0726729,October,1930,Italy,Società Italiana Cines,"nm0237868, nm0688762, nm0825923, nm0109266, nm0683647, nm0135635, nm1995395, nm0022833, nm1995920, nm0208566, nm0539011, nm1508109, nm0755351, nm1258382, nm0757369, nm1151285, nm0896424",tt0020738
Die Puppenkönigin,1925,Germany,nm0726729,January,1925,Germany,Trianon-Film GmbH,"nm0414294, nm0509573, nm0488932, nm0475470, nm0913727, nm0091842, nm0246842, nm0944290",tt0487481
La peccatrice casta,1919,Italy,"nm0439188, nm0726729",January,1919,Italy,Tiber-film,"nm0439188, nm0663286, nm0664698",tt0193391
Il bosco sacro,1915,Italy,nm0303120,,,,,nm0096330,tt0158511
La miniera di ferro,1912,Italy,nm2486447,,1912,Italy,Savoia Film,"nm0021935, nm1896373, nm0544490, nm0739971, nm0750877",tt0965513
L'età critica,1921,Italy,nm0657535,May,1921,Italy,Rinascimento Film,"nm0579618, nm0667546, nm0277765, nm0208352, nm2553259, nm2545801, nm2548379, nm1533355",tt0342355
Die Frauengasse von Algier,1927,Germany,nm0389275,June,1927,Finland,Universum Film (UFA),"nm0414294, nm0394806, nm0911914, nm0103113, nm0478862, nm0769888, nm0772300, nm0653288, nm0262134, nm0313308, nm0105976, nm0286097, nm0693043, nm0457117",tt0293163
Steuerlos,1924,Germany,nm0726729,April,1924,Germany,Trianon-Film GmbH,"nm0414294, nm0884665, nm0443483, nm0313447, nm0257406, nm0686783, nm0543270, nm2105063, nm1261515, nm0687223",tt0015366
Turbine d'odio,1914,Italy,nm0303120,July,1914,Italy,Società Italiana Cines,"nm0224058, nm0579618, nm0637019, nm1295384, nm1303306",tt0211693
Per l'onore,1914,Italy,nm0345500,November,1914,Italy,Società Italiana Cines,"nm0137706, nm0350524, nm0637019",tt1045183
Capriccio mortale,1915,Italy,nm0303120,February,1915,Italy,Società Italiana Cines,"nm1216023, nm1271564, nm0303122",tt1047593
Un giuramento,1914,Italy,,June,1914,Italy,Società Italiana Cines,"nm1298105, nm0350524, nm1294238",tt1045101
Il gomitolo nero,1913,Italy,,May,1913,France,Società Italiana Cines,"nm0350524, nm0637019",tt0178517
Caterina da Siena,1947,Italy,nm0657509,,,,Cigna,"nm0209739, nm0209740, nm1015231, nm0612845, nm0033982, nm1015278, nm1014868, nm0650977, nm0553360, nm1015544, nm0308518, nm1015348, nm1016475, nm0780002, nm1014690, nm1015509, nm0867923, nm0094687, nm1015775",tt0039254
Una ragazza di Praga,1969,Italy,nm0665113,April,1971,Italy,,"nm0502382, nm0078116, nm0162948, nm0813082, nm0686217, nm0232434, nm0613867, nm0034068, nm0211613, nm1294548, nm1296566, nm0267838, nm6208382, nm6208383, nm6208384, nm6208385, nm6208386, nm6208387",tt0197802
Alla capitale,1916,Italy,nm0726729,June,1916,Italy,Tiber-film,"nm0137706, nm0144302, nm0144313, nm0172822, nm0216847, nm0266947, nm0414293, nm0526921, nm0723236, nm0759762",tt0192966
I due sergenti,1922,Italy,nm0109264,December,1922,Italy,Rodolfifilm,"nm1027834, nm0109263, nm0109266, nm1256644, nm0162321, nm1887648, nm0187642, nm1148789, nm1148942, nm0682544, nm0693529, nm1324086, nm1253342",tt0169823
La rosa di Granata,1916,Italy,nm0315780,November,1916,Italy,Tiber-film,"nm0137706, nm0146796, nm0414293, nm0526921, nm0613623, nm0630171, nm0759762",tt0200066
Onore e dovere,1912,Italy,,,1912,Italy,Società Italiana Cines,"nm0414293, nm1032488, nm0784988",tt1041809
Il serpente a sonagli,1935,Italy,nm0558127,September,1935,Italy,"Safir, Tiberia Film","nm0078728, nm0832375, nm0313123, nm0109266, nm0656512, nm0109265, nm0889246, nm0536234, nm0227573, nm4724453, nm0301378, nm0149085, nm0277276, nm0177815, nm4724421, nm0738871, nm0207087, nm0408490, nm0577365, nm0667946, nm0243913, nm0079338, nm1801799, nm1847068, nm0080614, nm0899262, nm4724432, nm4724483",tt0026976
L'ereditiera,1958,Italy,nm0484761,,1958,,RAI Radiotelevisione Italiana,"nm0536234, nm0016617, nm0723242, nm0109266, nm1167165, nm2030505, nm0017806, nm0070728, nm1000391, nm6127192",tt7693376
Noris,1919,Italy,"nm0312866, nm0673035",September,1919,Italy,Itala Film,"nm1298258, nm0579618, nm1294250, nm0785802",tt0188956
Dopo il perdono,1919,Italy,nm0211634,April,1919,Italy,Gladiator Film,"nm0135493, nm1513772, nm0277372, nm0335908, nm0538729, nm0872195",tt0965610
The Actress' Redemption,1914,Italy,,June,1914,USA,Savoia Film,"nm0414294, nm0518359",tt1290484
Mademoiselle Pas-Chic,1918,Italy,nm0726729,September,1918,Italy,Tiber-film,"nm0172822, nm0414293, nm0590786, nm0757369",tt1041788
Sotto le tombe,1915,Italy,nm0303120,November,1915,Italy,Società Italiana Cines,"nm1216023, nm1291441, nm0303122, nm0557831",tt1047685
La preda,1924,Italy,nm0957995,,,,,"nm0094529, nm0137706, nm1534154, nm0144302, nm0414294, nm0448656, nm0604105, nm0637019, nm0899528",tt0195172
La disfatta dell'Erinni,1920,Italy,nm0673035,July,1920,Italy,Rinascimento Film,"nm0208538, nm0579618, nm0675874, nm1294250, nm0785802",tt0336292
