film_title,film_year,production_country,director,release_month,release_year,release_location,production_company,cast,imdb_id
Zhivoy trup,1929,"Germany, Soviet Union",nm0652974,March,1929,Russia,"Mezhrabpomfilm, Prometheus-Film-Verleih und Vertriebs-GmbH, Länderfilm GmbH","nm0699877, nm0414294, nm0306673, nm0784913, nm0882918, nm0226158, nm0546531, nm0904492, nm0881555, nm0055823, nm0405904, nm0842670, nm0688040, nm0720076, nm0867966",tt0019609
La vacanza del diavolo,1931,USA,nm0759386,August,1931,Italy,Paramount Pictures,"nm0094529, nm0683647, nm0195208, nm0957867, nm0730611, nm0816496, nm0021926, nm0759474, nm0082101, nm1016451, nm1215752, nm1707759, nm1708298",tt0209456
Gehetzte Frauen,1927,Germany,nm0652650,August,1927,Germany,Richard-Oswald-Produktion,"nm0003425, nm0094529, nm0297054, nm0257365, nm0615407, nm0314777, nm0902450, nm0510761, nm0282632, nm0862816, nm0034665, nm0313308, nm0666749, nm0040084, nm0872646, nm0685550, nm1080087",tt0132181
La maestrina,1919,Italy,nm0734958,May,1919,Italy,Rodolfifilm,"nm0109263, nm0109266, nm2718631, nm0785378",tt1067203
Mio figlio Nerone,1956,"Italy, France",nm0826642,September,1956,Italy,"Les Films Marceau, Produzione Cinematografica F.I.D.E.S., Titanus","nm0814773, nm0001120, nm0841797, nm0000003, nm0053582, nm0139214, nm0233946, nm0298918, nm0239207, nm1009425, nm0596968, nm0670971, nm0103854, nm0131036, nm1006836, nm0301562, nm0689060, nm0791176, nm0855241, nm0898964, nm0590452, nm0608533, nm0738106, nm0209740, nm0872820, nm0855722, nm0663057, nm0563462, nm0848546",tt0049508
La lussuria,1919,Italy,nm0070374,June,1919,Italy,"Bertini Film, Caesar Film","nm0078116, nm0667546, nm0016688, nm0080672, nm1014493, nm0872195, nm1295234",tt0183445
Vertigine,1919,Italy,nm0624511,March,1919,Italy,Film d'Arte Italiana,"nm0137706, nm0138479, nm0381428, nm0771160",tt1063663
Il matrimonio di Olimpia,1918,Italy,nm0952610,December,1918,Italy,Itala Film,"nm0021935, nm0626131, nm0082101, nm0603386, nm0744105",tt0270503
Miss Dorothy,1920,Italy,nm0030748,June,1920,Italy,Nova Film,"nm0094529, nm0131042, nm1292225, nm0439188",tt0187294
La contessa Arsenia,1916,Italy,nm0664700,May,1916,Italy,Pasquali e C.,"nm0133735, nm0139215, nm0162321, nm0439188, nm0750877, nm0850499",tt1065405
L'educanda monella,1916,Italy,,,,,,"nm0078116, nm0211158",tt0169838
L'ombra che passa,1917,Italy,nm0726729,January,1917,Italy,Tiber-film,"nm0224058, nm0352120, nm0414293",tt0190595
La fanciulla d'Amalfi,1921,Italy,nm0730743,,,,,nm0078116,tt0171313
Celle qui domine,1927,France,"nm0303120, nm0537222",December,1927,France,Paris International Film,"nm0537222, nm0303122, nm0135632, nm0202679, nm0028823, nm0644054, nm0137719, nm1302504, nm0109469, nm1299354, nm0322829, nm0901357",tt0017741
Mariute,1918,Italy,nm0070374,May,1918,Italy,"Bertini Film, Caesar Film","nm0016688, nm0078116, nm0211158, nm0667546, nm0784988",tt0184717
Maciste e la figlia del re dell'argento,1923,"Germany, Italy",nm0096705,May,1923,Finland,Jakob Karol Film GmbH,"nm0656034, nm0538729, nm0366603, nm0432721, nm1273248, nm0670271, nm0510227, nm0728818",tt0013351
Francesca da Rimini,1911,Italy,nm0266080,,,,Film d'Arte Italiana,"nm0078116, nm1291637, nm1291684, nm1291904, nm1292460",tt0345266
L'avventura di Fracassa,1919,Italy,nm0856426,September,1919,Italy,Mari Film,"nm0035996, nm0100445, nm0136825, nm1522679, nm0762718, nm0856422",tt0927103
Il siero del dottor Kean,1913,Italy,,,1913,Italy,Società Italiana Cines,"nm0137706, nm2549049, nm0315780, nm0557831, nm0579618, nm1295384",tt0963333
Le campane di San Lucio,1921,Italy,nm0109264,October,1921,Italy,Rodolfifilm,"nm1027834, nm0109263, nm0109266, nm0664698, nm0757369, nm0899597",tt1067692
La vita e la morte,1917,Italy,nm0143333,July,1917,Italy,Films Manipulation Agency,"nm0032106, nm0143332, nm0264693, nm0350524, nm0743102",tt1081025
"Marion, artista di caffè-concerto",1920,Italy,nm0730743,December,1920,Italy,"Bertini Film, Caesar Film","nm0078116, nm0162490, nm1292202",tt1495856
Il romanzo di un torero,1914,Italy,nm0303120,,1914,Italy,Società Italiana Cines,"nm0303122, nm1295384",tt1047672
Vacanze d'inverno,1959,"Italy, France","nm0557840, nm0002189",June,1959,Italy,"Athena Cinematografica, Gallus Films, Sofradis","nm0006807, nm0545352, nm0001120, nm0744103, nm0699019, nm0336582, nm0758047, nm0442304, nm0583708, nm0883574, nm0169997, nm0759395, nm0187584, nm0545615, nm0814773, nm0876947, nm0109266, nm0102679, nm0133174, nm0131036, nm0538969, nm0615979, nm0663943",tt0053402
Nemesis,1920,Italy,nm0303120,December,1920,Italy,D'Ambra Film,"nm1298937, nm0303122, nm1035410, nm0345223, nm1301646, nm1302271, nm0899262, nm1218250",tt0188100
"Don Manuel, der Bandit",1929,Germany,nm0579574,,1929,Germany,Mengon-Film,"nm2668972, nm0274034, nm0414293, nm1955900, nm0572135, nm2673349, nm0686783, nm2670847, nm0877998, nm2670921",tt1041719
L'ombra,1923,Italy,nm0021933,August,1923,Italy,Alba Film,"nm0021935, nm1027834, nm0082101, nm0172822, nm0352120, nm0544331, nm0682544",tt0336955
La moglie di Claudio,1918,Italy,"nm0952610, nm0665163",December,1918,Italy,Itala Film,"nm0579618, nm0744105, nm0626131, nm0035996, nm0603386, nm0599973, nm0544845, nm1893945, nm0818245, nm1300506",tt0963313
La regina del carbone,1919,Italy,nm0726729,April,1919,Italy,Tiber-film,"nm0144302, nm0352120, nm0414294, nm0744105",tt0198972
Novecento,1976,"Italy, France, West Germany",nm0000934,September,1976,France,"Produzioni Europee Associate (PEA), Les Productions Artistes Associés, Artemis Film","nm0000134, nm0000367, nm0761212, nm0078116, nm0079341, nm0115834, nm0143743, nm0001330, nm0377052, nm0777951, nm0885098, nm0885123, nm0536128, nm0729887, nm0132137, nm0667615, nm0531423, nm0684838, nm0104418, nm0097967, nm0599998, nm0315651, nm0527135, nm0690763, nm0671010, nm0702773, nm0173189, nm0579634, nm0054670, nm0197966, nm0896235, nm0266741, nm0097962, nm0784814, nm0208035, nm0275023, nm0728967, nm0308236, nm0622095, nm0466897, nm0762248, nm0000661, nm0000044, nm0194848, nm0585600, nm0613824, nm0689060, nm0784108",tt0074084
Fiamme nell'ombra,1915,Italy,nm0624511,April,1915,Italy,Milano Film,"nm0381428, nm0587801",tt0938630
Zingari,1920,Italy,nm0021933,December,1920,Italy,Fert Film,"nm0021935, nm0140054, nm0144302, nm0637019, nm0757369, nm1302465, nm1315931",tt0310394
Anima redenta,1917,Italy,,,,,,nm0078116,tt0254094
D'homme à hommes,1948,"France, Switzerland",nm0160108,October,1948,France,"RIC-Geneva, Réalisation d'art cinématographique (RAC)","nm0056761, nm0088396, nm0672967, nm0409501, nm0100664, nm0260195, nm0213581, nm0037309, nm1707984, nm1708604, nm0256673, nm0617565, nm0712238, nm0723168, nm0494599, nm0094529, nm0603589, nm0869687, nm0218056, nm0415231, nm0782564, nm0029238, nm0079700, nm0112423, nm0150115, nm0213532, nm0221782, nm0269423, nm0516640, nm0584786, nm0600829, nm0621856, nm1708286, nm0686263, nm4348492, nm0753646, nm0846087, nm0855758, nm0861204, nm0883516, nm0898743, nm0900463, nm0951235",tt0125054
