imdb_id,name
nm0022324,Giuseppe Alotta
nm1298300,Teresa Boetti Valvassura
nm0546910,Anna Mari
nm0761212,Dominique Sanda
nm1021252,Ada Cannavò
nm1577493,Elena Zoar
nm0809130,Liselotte Smith
nm1991823,Siegfried Raabe
nm0136825,Felice Carena
nm0890993,Simone Vaudry
nm1300897,Luigi Marghieri
nm0613901,May Muriel
nm1131937,Adele Bianchi Azzarili
nm0414293,Diomira Jacobini
nm1016451,Maya Moreno
nm0093770,Miranda Bonansea
nm0330752,Laura Gore
nm0143333,Mario Caserini
nm0521545,Mariella Lotti
nm0156990,Giannina Chiantoni
nm1158427,Fanny Bertelli
nm1220560,Marie Deauville
nm0653085,Roberto Ottaviano
nm0913188,Aruth Wartan
nm2674381,Guido Fiori
nm1032516,Virgilio Savona
nm0606286,Guglielmo Morresi
nm0686035,Ernst Pittschau
nm0659852,Laura Panti
nm0230981,Fioretta Dolfi
nm1270659,Claudia Zambuto
nm0320221,Vivi Gioi
nm0210154,Marcello Di Martire
nm0725332,Paul Richter
nm1324133,Gennaro Sabatano
nm1301539,Pallos
nm0080586,Armandina Bianchi
nm2674031,Antonio Bonino
nm0232370,Cesare Dondine
nm1887648,Giovanni Ciusa
nm0901683,Lina Volonghi
nm0823042,Bella Starace Sainati
nm0148616,Ennio Cerlesi
nm6127192,Nino Bianchi
nm0891998,Conrad Veidt
nm5474279,Alessandro Bini
nm1505067,Pierino Rosa
nm0195176,Diana D'Amore
nm1064675,Paolo Azzurri
nm0016688,Alberto Albertini
nm0650977,Mario Ortensi
nm0037309,René Arrieu
nm0309798,Luigi Gatti
nm1303306,Ofelia Zannoni
nm0823100,Gioconda Stari
nm1376733,Turi Verne
nm1513092,Gigi Armandis
nm2312131,Alfonsina Pieri
nm4311201,Vittorio Palumbo
nm3938345,Riette Osborne
nm0435229,Erich Kaiser-Titz
nm0261180,Luigi Esposito
nm0586903,Robert Milasch
nm0409501,Denis d'Inès
nm0133734,Carla Candiani
nm2440122,Mimmo Palermi
nm0542077,Vittorio Manfrino
nm5393549,Susy Marconi
nm1269352,Walter Marcheselli
nm0205788,Amos Davoli
nm0210150,Peppino De Martino
nm0759474,Sandro Salvini
nm0627546,Edoardo Nevola
nm0411299,Gualtiero Isnenghi
nm5474268,Nicla Noto
nm2680368,Mario Fumagalli
nm0032106,Camillo Apolloni
nm0208522,Filippo De Gara
nm0209741,Wladimiro De Liguoro
nm1269356,Raffaello Mariani
nm0418079,Walter Janssen
nm0865338,Anita Todesco
nm0577534,Luigi Mele
nm3939673,Jurek Shabelewski
nm2670997,Jeanne Bay
nm0195712,Rita D'Harcourt
nm0266031,Armando Falconi
nm2058309,Nelleke Noordervliet
nm0224330,Alfonso Di Stefano
nm4723019,Ines Cristina Almirante
nm0754637,Gino Sabbatini
nm3938796,John Sleeter
nm0201452,Ossip Darmatow
nm1049615,Alfredo Campioni
nm2509519,Bianca Quaranta
nm0714052,Carlo Reali
nm0029594,Giuseppe Angelini
nm1531292,Aurelia Cattaneo
nm2712756,Dana Marigia
nm0791176,Barbara Shelley
nm2713451,Franco Liberati
nm0577488,Leo Melchiorri
nm0251432,Lia Eibenschütz
nm0544845,Gina Marangoni
nm0599997,Marco Monti
nm0211424,Gemma De Sanctis
nm0842670,Karl Junge-Swinburne
nm2522498,Ugo De Gregorio
nm0193763,Mario Cusmich
nm0632423,Annibale Ninchi
nm1049636,Annette Chardin
nm0670971,Amalia Pellegrini
nm0163229,René Clair
nm0881555,Vladimir Uralskiy
nm1110836,Alfredo Sernicoli
nm2674420,Piera De Ferrari
nm2690176,Rita Pergament
nm4722960,Rosetta Dena
nm1257483,Lola Josane
nm0905876,Elsa Wagner
nm0545615,Ruggero Marchi
nm0892140,Harry J. Vejar
nm0298226,Elsie Fuller
nm0254012,Uschi Elleot
nm1816386,Waldemar Potier
nm1345965,Velia De Angelis
nm1163638,Silvano Buzzo
nm3226533,Rita Cimara
nm0608314,Giacomo Moschini
